index,title,recommendation
0,The Computing Technology Inside Your Smartphone,Computer Systems Programming 7.3; Introduction to Microelectronics 6.16; Embedded Systems 6.04; Computer Analysis of Biomed Images 5.79; Digital Systems Design Using Microcontrollers 5.64
1,Introduction to Circuits for Electrical and Computer Engineers,Power Electronics 11.82; Analog Integrated Circuit Design 8.04; Electric Power Systems I 6.68; Introduction to Microelectronics 6.61; Digital Logic and Computer Organization 5.29
2,Signals and Information,Random Signals in Communications and Signal Processing 19.43; Theory of Linear Systems 16.37; Advanced Analog VLSI Circuit Design 9.75; Embedded Systems Laboratory 9.14; Mathematics of Signal and System Analysis 8.4
3,Digital Logic and Computer Organization,Complex Digital ASIC Design 10.36; Advanced Analog VLSI Circuit Design 9.54; Digital Systems Design Using Microcontrollers 9.29; Introduction to Digital (VLSI) Design 8.81; Analog Integrated Circuit Design 6.61
4,Embedded Systems,Datacenter Computing 11.06; Advanced Computer Architecture 9.0; Embedded Systems Laboratory 8.0; Digital Systems Design Using Microcontrollers 6.81; Intelligent Autonomous Systems 6.17
5,Introduction to Microelectronics,Analog Integrated Circuit Design 17.93; Electronic Device Fundamentals 15.9; Physics of Semiconductors and Nanostructures 12.01; Nanofabrication and Characterization of Electronics Laboratory 9.03; Nanofabrication and Characterization of Electronics 8.54
6,Intelligent Physical Systems,Design with Embedded Operating Systems 6.11; Developing and Designing Interactive Devices 5.46; Embedded Systems 5.08; Computer Systems Programming 4.18; Introduction to Microelectronics 3.85
7,Ethical Issues in Engineering Practice,Computer Networks and Telecommunications 5.24; Professional Seminar for M.Eng. Students 4.89; Introduction to Digital (VLSI) Design 3.26; Data Science for Engineers 3.24; Stochastic Systems: Estimation and Control 3.07
8,Physics of Semiconductors and Nanostructures,Electronic Device Fundamentals 12.17; Introduction to Microelectronics 12.01; Quantum Physics and Engineering 11.21; Quantum Optics for Photonics and Optoelectronics 5.54; Semiconductor Physics 5.46
9,Autonomous Mobile Robots,Bio-inspired Coordination of Multi-Agent Systems 7.33; Intelligent Autonomous Systems 6.74; Foundations of Robotics 5.87; Nanofabrication and Characterization of Electronics 4.77; Multivariable Control Theory 4.36
10,Digital Signal and Image Processing,Applied Digital Signal Processing and Communications 7.85; Random Signals in Communications and Signal Processing 5.65; Signals and Information 5.51; Intelligent Autonomous Systems 4.76; Principles of Magnetic Resonance Imaging 4.61
11,Lasers and Optoelectronics,Quantum Optics for Photonics and Optoelectronics 9.78; Introduction to Nuclear Science and Engineering 7.77; Digital Communication System Design 5.61; Developing and Designing Interactive Devices 4.31; Digital Systems Design Using Microcontrollers 3.93
12,Integrated Micro Sensors and Actuators: Bridging the Physical and Digital Worlds,Foundations of Robotics 5.03; Embedded Systems 4.51; Complex Digital ASIC Design 4.44; Developing and Designing Interactive Devices 4.17; Introduction to Microelectronics 4.09
13,Nanofabrication and Characterization of Electronics,Nanofabrication and Characterization of Electronics Laboratory 26.31; Introduction to Microelectronics 8.54; Electronic Device Fundamentals 7.36; Analog Integrated Circuit Design 7.18; Model Based Systems Engineering 5.22
14,Nanofabrication and Characterization of Electronics Laboratory,Nanofabrication and Characterization of Electronics 26.31; Analog Integrated Circuit Design 10.46; Introduction to Microelectronics 9.03; Developing and Designing Interactive Devices 5.45; Electronic Device Fundamentals 5.19
15,Power Systems and Market Operations,Electric Power Systems I 26.34; Power System Economics and Electricity Markets 24.37; Power Electronics 12.15; Energy Seminar II 9.74; Random Signals in Communications and Signal Processing 4.15
16,Digital Communication System Design,Applied Digital Signal Processing and Communications 10.35; Computer Networks and Telecommunications 7.77; Intelligent Physical Systems 5.97; Lasers and Optoelectronics 5.61; Digital Systems Design Using Microcontrollers 4.71
17,Introduction to Digital (VLSI) Design,Digital Logic and Computer Organization 8.81; Introduction to Microelectronics 6.7; Complex Digital ASIC Design 6.33; Stochastic Systems: Estimation and Control 6.32; Digital Systems Design Using Microcontrollers 5.83
18,Digital Systems Design Using Microcontrollers,Digital Logic and Computer Organization 9.29; Embedded Systems Laboratory 8.96; Design with Embedded Operating Systems 8.66; Model Based Systems Engineering 7.45; Embedded Systems 6.81
19,Introduction to Controlled Fusion: Principles and Technology,Introduction to Nuclear Science and Engineering 4.82; Electric Power Systems I 4.81; Power Electronics 4.21; Model Based Systems Engineering 4.04; Electrical and Computer Engineering Independent Projects 3.82
20,Principles of Neurophysiology,Digital Systems Design Using Microcontrollers 4.9; Introduction to Circuits for Electrical and Computer Engineers 4.87; Multivariable Control Theory 4.66; Embedded Systems Laboratory 4.38; Control and Optimization of Information Networks 4.26
21,ECE Technical Writing,Professional Seminar for M.Eng. Students 8.49; MEng Technical Internship 5.0; Electrical and Computer Engineering Group Projects 4.13; Fundamentals of Machine Learning 2.18; Radio Frequency Systems 1.94
22,Special Topics in Electrical and Computer Engineering,The Computing Technology Inside Your Smartphone nan; Introduction to Circuits for Electrical and Computer Engineers nan; Signals and Information nan; Digital Logic and Computer Organization nan; Embedded Systems nan
23,Special Topics in Electrical and Computer Engineering,The Computing Technology Inside Your Smartphone nan; Introduction to Circuits for Electrical and Computer Engineers nan; Signals and Information nan; Digital Logic and Computer Organization nan; Embedded Systems nan
24,Supervised Teaching Experience,MEng Technical Internship 7.87; Master of Engineering Design Project II 4.41; Electrical and Computer Engineering Independent Projects 3.49; Power Electronics 3.14; Intelligent Physical Systems 2.87
25,International Research Internship,Special Topics in Electrical and Computer Engineering 100.0; Advanced Topics in Electrical and Computer Engineering 100.0; Graduate Topics in ECE 100.0; Graduate Topics in Electrical and Computer Engineering 100.0; Electrical and Computer Engineering Independent Projects 3.51
26,Electrical and Computer Engineering Group Projects,Electrical and Computer Engineering Independent Projects 34.25; Master of Engineering Design Project II 5.65; ECE Technical Writing 4.13; Special Topics in Electrical and Computer Engineering 3.48; International Research Internship 3.48
27,Electrical and Computer Engineering Independent Projects,Electrical and Computer Engineering Group Projects 34.25; Master of Engineering Design Project II 9.08; Model Based Systems Engineering 3.97; Introduction to Controlled Fusion: Principles and Technology 3.82; Special Topics in Electrical and Computer Engineering 3.51
28,Systems Analysis Behavior and Optimization,Model Based Systems Engineering 10.08; Stochastic Systems: Estimation and Control 6.12; Computer Systems Programming 5.42; Introduction to Circuits for Electrical and Computer Engineers 4.97; Introduction to Digital (VLSI) Design 4.82
29,Theory of Linear Systems,Signals and Information 16.37; Random Signals in Communications and Signal Processing 10.84; Embedded Systems Laboratory 3.11; Power Electronics 2.83; Multivariable Control Theory 2.77
30,Intelligent Autonomous Systems,Fundamentals of Machine Learning 13.16; Applied Machine Learning 6.79; Autonomous Mobile Robots 6.74; Embedded Systems 6.17; Stochastic Systems: Estimation and Control 5.79
31,Quantum Optics for Photonics and Optoelectronics,Quantum Physics and Engineering 33.72; Lasers and Optoelectronics 9.78; Physics of Semiconductors and Nanostructures 5.54; Semiconductor Physics 5.07; Introduction to Microelectronics 3.8
32,Developing and Designing Interactive Devices,Design with Embedded Operating Systems 10.62; Embedded Systems Laboratory 9.65; Complex Digital ASIC Design 7.06; Intelligent Physical Systems 6.46; Digital Systems Design Using Microcontrollers 4.74
33,Advanced Analog VLSI Circuit Design,Analog Integrated Circuit Design 25.5; Power Electronics 9.94; Signals and Information 9.75; Digital Logic and Computer Organization 9.54; Introduction to Microelectronics 7.15
