name,rating,wouldTakeAgain,levelOfDifficulty,topTags,similarProfs,reviews,numReviews
David Albonesi,4.1,86%,3,Tough grader; Inspirational; Group projects; Respected; Clear grading criteria; Amazing lectures; Lecture heavy; Caring; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Will spend time with you in OH to just chat. Very willing to help students. Class is quite easy to understand.; Very clear lecture and grading criteria, extremely organized. Prof. Albonesi teaches so well that there is no need to read the textbook. Homeworks are well designed and those are the questions you'd get on the exams. Best ECE professor I've met!; Lectures were sometimes impossible to follow either because the slides were far too vague or he moved too fast to be able to internalize the information being sprayed at us. Any notes taken on the slides by the professor were never uploaded even though multiple request were made to do so. Felt like an under-prepared power point presentation.; Im not an ECE major so I was initially very confused during lectures. But the prof has individual office hour and that helped clear things up a lot. Hes really helpful and easily accessible outside the classroom (email him and hell respond to you in no time). I gotta admit I grew to be very interested in computer engineering after the class.; Maybe the best professor I've ever met in Cornell, explanations are clear and notes help a lot! The labs are a bit hard though.; Albonesi is a kind, caring professor. The beginning of this course was very clearly laid out in his lecture notes, but the computer organization portion required extra time outside of the class to really learn. That said, his tests were beyond fair and I plan on taking another course with him next semester.; Notes are amazing.; His notes are ECE 2300 Bible, follow them and you can't fail!; Clear, well-organized lectures, though not super interesting.  Labs are incredibly time consuming but also helpful.  They will teach you the material and prepare you for later classes.  Homework was manageable but not something to write off.  Tests were very fair- tested class material well.  Easy to get an A.; Best prof ever!; Excellent professor!  Spent a lot of time making clear and useful lecture PPTs.  He is an excellent lecturer, spoke very clearly and precisely.  Very fair policies, exams, and grading.  Take 2300 with him!; Best professor I have had at Cornell! His lectures are basically what made me interested in computer architecture. Though he may not be the most interesting lecturer, he is extremely straightforward and is very genuinely helpful. He's an awesome person outside of class as well and I look forward to asking him for help/advice in the future.; I really liked this guy. His lectures were very clear and he posts his lecture notes online, which are PPT slides that compliment the textbook well. This class is time consuming, but to no fault of the professor. Homework isn't too bad, but some of the pre-labs can take forever. Still, make sure you do them. Otherwise, you won't get out of lab.; A really nice guy who explains things well. Lectures are good and tests are fair. Prelabs take a long time and are somewhat difficult.; Tests were fair and were based mostly on lecture, practice exams were extremely helpful in preparing for the prelims/final; Will admit that it isn't a very interesting lecture, but it isn't too difficult to follow. Prof is super nice though and if you have any questions about the course or need help, he is extremely willing to work with you.; Not an extremely exciting lecturer -- the 75 minute blocks really tended to drag. But his lectures are at least clear, and between classes and the online slides, I had little trouble grasping the material. Tests, homework, and projects were not difficult. Very nice, and very willing to answer questions.; worst professor I have ever had at Cornell; His class is so boring and it is a perfect chance for those of you who want to have a sweet nap on Monday and Wednesday afternoon. He never explained anything because all he does is reading the lecture slides that directly come from the textbook.",19
Khurram Afridi,5,100%,4,Respected; Caring; Accessible outside class,"[['5.00', 'Behrouz  Touri', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2044956'], ['2.30', 'Arielle blum', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2617436']]",,0
Aaron Wagner,5,100%,4,Tough grader; LOTS OF HOMEWORK; Inspirational; Respected; Skip class? You won't pass.; Amazing lectures; Tough Grader; Caring; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","GREAT CLASS; Clear and engaging lectures along with helpfulness outside of class make one of the hardest classes I have ever taken an extremely worthwhile experience.; Wagner is one of the best professors at Cornell. He organizes lecture in a clear manner and always tries to keep it interactive so you don't fall asleep learning a ton of math. Projects in the second half of the course are extremely well designed and educational; however, they are very challenging. Exams and problem sets were also difficult.; Was the most interesting ECE class I've taken yet. The class takes all the theory from ECE3250 and ECE3100 and let's you use it to do interesting things. Prof. Wagner is clear and quite friendly. There is only one prelim. Don't screw it up or your grade will suffer. The final project (OFDM through a box) is really cool.; Great professor!; Excellent, if a bit quirky, lecturer. Really cares about students. Extremely helpful. Exams require not only mastery of material, but cleverness. Minimal amount of homework, with flexible policies. One of the best professors I've had.",6
Kirstin Petersen,5,100%,1.5,GROUP PROJECTS; Gives good feedback; Group projects; Respected; Caring,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","This is a tough class to teach--it's hard to lecture the entirety of two years of ECE studies. Because of this, lectures feel optional--but they are interesting, and generally worth going to. There's a lot of lab work. No task alone is horrible, but combined, I spent a ridiculous amount of time in lab--still, Petersen deserves a lot of respect.",1
Joseph Skovira,5,100%,1.7,GROUP PROJECTS; Group projects; ACCESSIBLE OUTSIDE CLASS; Caring; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]",Amazing class.; Very kind and helpful professor. Class is super easy and has a fun group project at the end that serves as an excellent element in your resume.,2
Alyssa Apsel,3.1,N/A,4.1,Get ready to read; Tough grader; Lots of homework,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Lectures weren't very stimulating. Basically followed the book word-for-word. Homework assignments and lab reports were a pain. As long as you study the material, the prelims aren't difficult.; No Comments; Lots of work, but overall a good class; she knows her stuffs.  And when I took this class, she is really good.  She gives lots of help and I simply choose my career path after taking her class. I want to do what she does.; She's smart, no doubt about that...but she lacks coherence, organization and enough of an intuitive approach to teach the class...she expected students to know way too much; homeworks and test are long and difficult; labs are worthless and she's very inconsiderate of students' time; don't take it; She's a smart woman, but she REALLY doesn't know how to teach. Her ""lectures"" are just straight out of the text. Homework takes too long, and class isn't exactly a walk in the park. She isn't that helpful either unless you hound her with questions.; Very difficult class.  Lecture consists of reciting the book... better off just reading it instead.  She has a very heartless and uncompassionate personality.  Final project expectations were ridiculous for time given to us.  I hate analog design now because of this class.; She is one of the greatest teachers that I ever had!; she's actually very nice in lab, knows her stuff and is willing to help. she's not that good at lecturing, but definitely someone who makes an attmept to help her students.; She's better that Lal at lecturing and she helps alot in lab...doesn't seem very approachable, sorta serious personality but once you ask her for help she'll be sure you understand what you're doing; I can't believe how bad the two professors for this course are.  how do they expect us to learn anything from such an important class when we don't have any good professors or ta's?; No Comments; No Comments",13
Adam Bojanczyk,2.8,50%,2.8,Gives good feedback; Tests? Not many; Respected; Amazing lectures; ACCESSIBLE OUTSIDE CLASS; Participation matters; Caring; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Very incoherent during lectures, notes are not organized, slides are riddled with typos. I wish I dropped the class; he has an accent, and his handwriting isn't the best.  that said if you don't understand something, just ask him!  he encourages this.  I was initially put off by these things, but after a few weeks I realized he is always open to clarification.  Awesome guy, very fair grader, wants his students to succeed.; ECE 4800. awesome professor with sound theoretical knowledge. His assignments, mid term and final totally make you understand what is happening and how the theory is applied in real life applications.; ECE 5950 Parallel Computing. He knows the material well. Hes lectures are really fun to go to. Material requires deep understanding, but tests are not hard, and homework assignments are broad but not difficult.  Highly recommended, especially with interest in multi-threadingprocessing, parallellizaion and modern  large scale computing. CUDA includ; Bojanczyk is probably one of the worst lecturers I have ever encountered. The classes are completely incoherent, with Bojanczyk simply reading off slides in a monotonous, sleep-inducing voice. The book is better than the professor, who has not really improved my understanding of the subject. Do not take this class unless your major requires it.; I came into ECE 2300 with no experience in Digital Logic. This professor has not really improved my understanding of the material even from the very beginning of the course. I can't ever understand what he is saying. The prelims are absolutely nothing like any of the practice questions. insanely too much work in this course. Don't take it!!!; I learned the whole course on my own unfortunately.; Knows his stuff, but not good at conveying it. Lectures move very quickly and he's not clear in his lectures. Assumes prior comfort with math. Lectures were harder than the prelims. Labs were worthwhile -- they helped visualize the material in Matlab.; Had him for engrd230+ece220. He is a good prof, hard to understand at times. Assignements help a lot. His exams are based on practice exams he posts. He is better for 230 than 220.; This guy can't teach for live. But his prelims were really easy, and they were exactly like his practice prelims. I got two A+ from him, so I guess I shouldn't complaint too much; A great ECE professor.  He has a very good grasp of the material, but might not explain it the best way.  From my experience, the material comes to him with such ease that he expects to be trivial.  Prelims are very similar to the practice problems that he gives.; one of the nicest teachers i have had.  Always willing to help.; Probably one of the teachers who is most willing to help.  He provides so much practice material for the exams, pretty much giving away the exam.  If you study what he gives you, there's no reason why you shouldn't get a perfect score.  Just don't hand in assignments late, and you'll be fine.; After getting used to his accent and the speed of lecture, he's actually very good.  This class is computational methods in ECE, which is his area of research, which is why this class is probably taught better than ECE 230. Nice guy too.; No Comments; His lectures were often unorganized and he had errors in his power point presentations that would surprise him.  But he gave the impression of a jolly Russian Santa Claus meets Gorbachev.  And you can't get mad at that no matter how painful the test.; Not very easy to understand; No Comments; No Comments",19
Elizabeth Helbling,3.5,50%,4,Test heavy; Participation matters; Lots of homework; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","She has an amazing personality, however, it was her first time teaching the class and this was reflected back on the students in return. She made herself accessible, however, even though I was able to do all the homeworks, the prelims and finals was nothing representative of the homework, if you have to take her, I wouldn't say not to but get ready",1
David Hysell,N/A,N/A,N/A,,"[['5.00', 'Rowena Lohman', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2481759'], ['4.20', 'Toby Ault', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2542024'], ['3.80', 'Arthur Degaetano', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2379470']]",,0
Christoph Studer,4.8,100%,3.6,LOTS OF HOMEWORK; Respected; Amazing lectures; Clear grading criteria; ACCESSIBLE OUTSIDE CLASS; Beware of pop quizzes; Participation matters; Caring; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Professor Studer is just an amazing and awesome teacher who is great at explaining things and is always there if you need help.  He's made VLSI a great class and I learned so much and enjoyed it. If you have a chance you should definetely take his class.; A bro, always willing to help. Basically has an open door all the time for students. Clearly knows everything there is to know about MIMO/OFDM/Wireless Communications in general. I had him during my 9th semester at Cornell. He was one of the top three best professors I had.; Excellent lecturer, answers questions during lecture.  Always available during office hours.  Very patient.  I would highly recommend!; Professor Studer's friendliness and good character is well matched by his intelligence. He will kindly dedicate time to make sure you understand and will further inspire you to think beyond the topics. As a research advisor, he will spend a lot time with you, and give you great ideas. In my opinion, he is super hot.; Great class and the professor cares about students; Great professor!! Fair grader, especially with exams that seem pretty difficult while you take them. Lots of partial credit if you give a good effort. Overall, a very useful class to take. Also, Prof. Studer is super helpful and goes out of his way to help students with any questions they might have.; Great professor. Really nice guy. Can be tough on grades but generally fair. Knows material well. Definitely an enjoyable class to go to. Very useful materials",7
